,l_oPL,l_oML,l_oAF,l_oAL,l_oPA,l_oPO,l_AIP,l_F5,l_bPL,l_bML,l_bAL,l_bAM,l_bPF,l_PL,l_ML,l_MF,l_MD,l_AF,l_AL,l_dAF
l_oPL,0.0,-0.02496912662471712,0.0008003329162952766,0.06755730973370147,0.013899030484928854,0.07448375761553941,0.10223046201989928,0.055957849038876684,0.05624348920482908,0.13115437591505993,0.0651368463828586,0.025031589601504263,-0.04393324445331309,0.1564133661634734,0.11872534721189587,0.11231894745471985,0.09317207105699254,0.0461229930094989,-0.036762679465646333,0.04178206908296797
l_oML,-0.02496912662471712,0.0,0.046494142161668306,0.01674726951740954,0.01770096915785855,0.10992001273658464,0.015701162502085295,0.012197948640070441,0.015411222218707804,0.048423999387588235,0.12070297670480369,0.026239002626917484,0.05403079403602129,0.10586599883098695,0.03370581732646158,0.0559938931487875,0.010209367739395125,0.06856148992340039,0.04959499148292895,-0.04278485435812776
l_oAF,0.0008003329162952766,0.046494142161668306,0.0,0.0886142547530693,0.052363612491512834,-0.00244970902316316,0.04167999396344311,-0.005208321042317027,0.06676828573549766,0.0316990434124307,0.07794628296372769,-0.011336954227768443,0.011453834953416064,0.07200301976343294,0.07386252630116737,0.09398235988471314,0.05436076773866243,-0.037003805941218645,0.04937606743024982,0.06222558723767248
l_oAL,0.06755730973370147,0.01674726951740954,0.0886142547530693,0.0,0.11205855383909943,-0.020739817016900246,0.012743375777389057,0.06724039833014421,0.05086419096558946,0.04170328907542545,-0.004758287581070164,-0.021936901308351908,0.06897661685690959,0.029702150431354796,0.039677503863555355,0.04680886081452375,0.06071983253667568,0.01225567242413415,0.017258485707160418,-0.033195866468470364
l_oPA,0.013899030484928854,0.01770096915785855,0.052363612491512834,0.11205855383909943,0.0,0.08796014037633443,0.14275917196895316,0.08259006699036009,0.1394216596888569,0.20338801492333514,0.027959395354205552,-0.017069618105794753,0.05407120417155886,0.009252180828764223,0.14259052318737195,0.13991940050516055,0.07790077129073578,0.1220466914310689,0.05988863189856816,0.08725906343368024
l_oPO,0.07448375761553941,0.10992001273658464,-0.00244970902316316,-0.020739817016900246,0.08796014037633443,0.0,0.15023181994871382,0.02345312499254218,0.08973866537917669,0.09274176110784067,-0.017251113900138823,0.09121687713278777,0.05172521050268905,-0.08672552067582008,-0.006228798075115297,0.027926733562011294,-0.05541631078395151,-0.02606648484713614,-0.041159230403659874,-0.03977935013463161
l_AIP,0.10223046201989928,0.015701162502085295,0.04167999396344311,0.012743375777389057,0.14275917196895316,0.15023181994871382,0.0,0.0792234171999591,0.11823952022643205,0.2472936738765149,0.07751940860440305,-0.0017848897840143409,0.038978401793135636,0.06939660580416224,0.06892748332308876,0.09910826555824348,0.09827457197277317,0.07508046545056768,0.01894417138141735,0.07674095654160433
l_F5,0.055957849038876684,0.012197948640070441,-0.005208321042317027,0.06724039833014421,0.08259006699036009,0.02345312499254218,0.0792234171999591,0.0,0.09033927558819194,0.08045616255173847,0.036010358914814786,0.027078476628052274,0.07125186246107282,0.06985681033265867,0.11320301565860794,0.11643967299702157,0.11173771817495215,0.10504459956977874,-0.00999787810185817,0.03520488308140042
l_bPL,0.05624348920482908,0.015411222218707804,0.06676828573549766,0.05086419096558946,0.1394216596888569,0.08973866537917669,0.11823952022643205,0.09033927558819194,0.0,0.15054513902969013,0.07539132054456119,0.0002485183149888645,0.07876386592639367,0.021299497170749082,0.09729044783280894,0.2282862855204735,0.13025214290052425,0.12804089444947808,0.02996277104402989,0.049558672793886524
l_bML,0.13115437591505993,0.048423999387588235,0.0316990434124307,0.04170328907542545,0.20338801492333514,0.09274176110784067,0.2472936738765149,0.08045616255173847,0.15054513902969013,0.0,0.0706519056461621,0.04997528418068686,0.13802989259052828,0.17097381512745854,0.13600181882471307,0.20164875039914715,0.10910176357752718,0.08310268442527982,0.1254448967162862,0.049762252715499194
l_bAL,0.0651368463828586,0.12070297670480369,0.07794628296372769,-0.004758287581070164,0.027959395354205552,-0.017251113900138823,0.07751940860440305,0.036010358914814786,0.07539132054456119,0.0706519056461621,0.0,0.050021218210462834,0.11428892305319928,0.0043488344369835286,0.06842500910801802,0.12651383487269033,0.11719108670329594,-0.04252245887053324,-0.008840239947718084,0.03587161089635785
l_bAM,0.025031589601504263,0.026239002626917484,-0.011336954227768443,-0.021936901308351908,-0.017069618105794753,0.09121687713278777,-0.0017848897840143409,0.027078476628052274,0.0002485183149888645,0.04997528418068686,0.050021218210462834,0.0,0.08851970067691287,0.017614083136872634,0.08934972803623886,0.09652728437790575,0.011330216945835803,-0.0030781155808471267,-0.011098292165424267,0.027411128116394734
l_bPF,-0.04393324445331309,0.05403079403602129,0.011453834953416064,0.06897661685690959,0.05407120417155886,0.05172521050268905,0.038978401793135636,0.07125186246107282,0.07876386592639367,0.13802989259052828,0.11428892305319928,0.08851970067691287,0.0,0.06908049158767751,0.06979248858022481,0.06329817108019392,-0.0013027044932243104,0.1637563864623476,0.05827680449575015,0.08487169891810062
l_PL,0.1564133661634734,0.10586599883098695,0.07200301976343294,0.029702150431354796,0.009252180828764223,-0.08672552067582008,0.06939660580416224,0.06985681033265867,0.021299497170749082,0.17097381512745854,0.0043488344369835286,0.017614083136872634,0.06908049158767751,0.0,0.10379917921746182,0.1734173164209916,0.07487565333499245,0.0884650552528141,0.04085473440921633,0.04938344003395325
l_ML,0.11872534721189587,0.03370581732646158,0.07386252630116737,0.039677503863555355,0.14259052318737195,-0.006228798075115297,0.06892748332308876,0.11320301565860794,0.09729044783280894,0.13600181882471307,0.06842500910801802,0.08934972803623886,0.06979248858022481,0.10379917921746182,0.0,0.1863369142363387,0.15644550853515576,0.163049760585749,0.07398643484833212,0.09833082334535653
l_MF,0.11231894745471985,0.0559938931487875,0.09398235988471314,0.04680886081452375,0.13991940050516055,0.027926733562011294,0.09910826555824348,0.11643967299702157,0.2282862855204735,0.20164875039914715,0.12651383487269033,0.09652728437790575,0.06329817108019392,0.1734173164209916,0.1863369142363387,0.0,0.09730612428920443,0.13831615164568906,0.05793464597036712,0.06549982515909172
l_MD,0.09317207105699254,0.010209367739395125,0.05436076773866243,0.06071983253667568,0.07790077129073578,-0.05541631078395151,0.09827457197277317,0.11173771817495215,0.13025214290052425,0.10910176357752718,0.11719108670329594,0.011330216945835803,-0.0013027044932243104,0.07487565333499245,0.15644550853515576,0.09730612428920443,0.0,0.08343440405789132,0.05067023607582426,0.07030610849677038
l_AF,0.0461229930094989,0.06856148992340039,-0.037003805941218645,0.01225567242413415,0.1220466914310689,-0.02606648484713614,0.07508046545056768,0.10504459956977874,0.12804089444947808,0.08310268442527982,-0.04252245887053324,-0.0030781155808471267,0.1637563864623476,0.0884650552528141,0.163049760585749,0.13831615164568906,0.08343440405789132,0.0,-0.006846317769111099,-0.013432368439781378
l_AL,-0.036762679465646333,0.04959499148292895,0.04937606743024982,0.017258485707160418,0.05988863189856816,-0.041159230403659874,0.01894417138141735,-0.00999787810185817,0.02996277104402989,0.1254448967162862,-0.008840239947718084,-0.011098292165424267,0.05827680449575015,0.04085473440921633,0.07398643484833212,0.05793464597036712,0.05067023607582426,-0.006846317769111099,0.0,0.031926789845436385
l_dAF,0.04178206908296797,-0.04278485435812776,0.06222558723767248,-0.033195866468470364,0.08725906343368024,-0.03977935013463161,0.07674095654160433,0.03520488308140042,0.049558672793886524,0.049762252715499194,0.03587161089635785,0.027411128116394734,0.08487169891810062,0.04938344003395325,0.09833082334535653,0.06549982515909172,0.07030610849677038,-0.013432368439781378,0.031926789845436385,0.0
